1317040011	中山醫學大學附設醫院
307230000NUU00000	合作金庫商業銀行神岡分行
307230000NUA30000	合作金庫商業銀行大同分行
307230000NUA10000	合作金庫商業銀行延平分行
307230000NU920000	合作金庫商業銀行行政管理部
307230000NUV30000	合作金庫商業銀行憲德分行
307230000NU820000	合作金庫商業銀行人力資源部
307230000NU2B0000	合作金庫商業銀行信用卡部
307230000NUZP0000	合作金庫商業銀行鶯歌分行
307230000NUZ90000	合作金庫商業銀行東嘉義分行
307230000NUZ60000	合作金庫商業銀行東港分行
307230000NUZ00000	合作金庫商業銀行美濃分行
307230000NUYU0000	合作金庫商業銀行北新營分行
307230000NUYL0000	合作金庫商業銀行港都分行
307230000NUYJ0000	合作金庫商業銀行府城分行
307230000NUYI0000	合作金庫商業銀行赤崁分行
307230000NUYE0000	合作金庫商業銀行水湳分行
307230000NUW10000	合作金庫商業銀行佳里分行
307230000NUYB0000	合作金庫商業銀行北斗分行
307230000NUY20000	合作金庫商業銀行竹南分行
307230000NUWC0000	合作金庫商業銀行敦南分行
307230000NUXK0000	合作金庫商業銀行經國分行
307230000NUX10000	合作金庫商業銀行臺東分行
307230000NUX00000	合作金庫商業銀行潮州分行
307230000NUWY0000	合作金庫商業銀行北土城分行
307230000NUWX0000	合作金庫商業銀行新泰分行
307230000NUXX0000	合作金庫商業銀行新中分行
307230000NUY10000	合作金庫商業銀行北苗栗分行
307230000NUZR0000	合作金庫商業銀行六家分行
307230000NUW50000	合作金庫商業銀行路竹分行
307230000NUV90000	合作金庫商業銀行一心路分行
307230000NU110000	合作金庫商業銀行西雅圖分行
307230000NU200000	合作金庫商業銀行蘇州高新支行
307230000NUV50000	合作金庫商業銀行東高雄分行
307230000NUV40000	合作金庫商業銀行灣內分行
307230000NUS70000	合作金庫商業銀行文心分行
307230000NUS20000	合作金庫商業銀行黎明分行
307230000NU220000	合作金庫商業銀行金邊德他拉支行
307230000NU2A0000	合作金庫商業銀行電子金融部
307230000NUS00000	合作金庫商業銀行美村分行
307230000NUP30000	合作金庫商業銀行永安分行
307230000NU310000	合作金庫商業銀行營業部
307230000NU320000	合作金庫商業銀行金邊西哈努克支行
307230000NUL20000	合作金庫商業銀行太平分行
307230000NU390000	合作金庫商業銀行民雄分行
307230000NUS60000	合作金庫商業銀行精武分行
307230000NU910000	合作金庫商業銀行會計部
307230000NUE40000	合作金庫商業銀行宜蘭分行
307230000NUE90000	合作金庫商業銀行大溪分行
307230000NUK20000	合作金庫商業銀行五權分行
307230000NUE50000	合作金庫商業銀行蘇澳分行
307230000NUJ50000	合作金庫商業銀行高雄科技園區分行
307230000NUE10000	合作金庫商業銀行淡水分行
307230000NUC30000	合作金庫商業銀行基隆分行
307230000NUB10000	合作金庫商業銀行城東分行
307230000NUA20000	合作金庫商業銀行西門分行
307230000NUZQ0000	合作金庫商業銀行鹿港分行
307230000NUO80000	合作金庫商業銀行南區區域中心
307230000NUZ70000	合作金庫商業銀行萬丹分行
307230000NUZ10000	合作金庫商業銀行大樹分行
307230000NUYW1000	合作金庫商業銀行南永康分行
307230000NUYF0000	合作金庫商業銀行坪林分行
307230000NUY90000	合作金庫商業銀行員新分行
307230000NUF90000	合作金庫商業銀行竹北分行
307230000NU9A1000	合作金庫商業銀行職工福利委員會
307230000NUY60000	合作金庫商業銀行草屯分行
307230000NUM40000	合作金庫商業銀行彰營分行
307230000NUY40000	合作金庫商業銀行北大里分行
307230000NUXI0000	合作金庫商業銀行竹塹分行
307230000NUXE0000	合作金庫商業銀行新明分行
307230000NUXC0000	合作金庫商業銀行南崁分行
307230000NUF50000	合作金庫商業銀行平鎮分行
307230000NUWU0000	合作金庫商業銀行北新分行
307230000NUWR0000	合作金庫商業銀行北三峽分行
307230000NUWQ0000	合作金庫商業銀行東基隆分行
307230000NUWM0000	合作金庫商業銀行國醫中心分行
307230000NUG50000	合作金庫商業銀行圓山分行
307230000NUWK0000	合作金庫商業銀行大湖分行
307230000NUWI0000	合作金庫商業銀行信維分行
307230000NUWE0000	合作金庫商業銀行世貿分行
307230000NUWB0000	合作金庫商業銀行中山分行
307230000NUWA0000	合作金庫商業銀行自強分行
307230000NUW90000	合作金庫商業銀行屏東分行
307230000NUT70000	合作金庫商業銀行新興分行
307230000NUT30000	合作金庫商業銀行成大分行
307230000NUT10000	合作金庫商業銀行成功分行
307230000NUT20000	合作金庫商業銀行南興分行
307230000NUT00000	合作金庫商業銀行臺南分行
307230000NUZS0000	合作金庫商業銀行大雅分行
307230000NUN70000	合作金庫商業銀行軍功分行
307230000NUM10000	合作金庫商業銀行南嘉義分行
307230000NUM00000	合作金庫商業銀行嘉義分行
307230000NUZ20000	合作金庫商業銀行楠梓分行
307230000NUK40000	合作金庫商業銀行北屯分行
307230000NUL90000	合作金庫商業銀行北港分行
307230000NUL60000	合作金庫商業銀行彰化分行
307230000NUL50000	合作金庫商業銀行竹山分行
307230000NU6A0000	合作金庫商業銀行國外部
307230000NUZY0000	合作金庫商業銀行鼓山分行
307230000NUYR0000	合作金庫商業銀行小港分行
307230000NUY70000	合作金庫商業銀行集集分行
307230000NUXA0000	合作金庫商業銀行東桃園分行
307230000NUX80000	合作金庫商業銀行北羅東分行
307230000NUW00000	合作金庫商業銀行新營分行
307230000NUK60000	合作金庫商業銀行苗栗分行
307230000NUK80000	合作金庫商業銀行豐原分行
307230000NUV70000	合作金庫商業銀行光華分行
307230000NUR00000	合作金庫商業銀行建成分行
307230000NUQ70000	合作金庫商業銀行中清分行
307230000NU430000	合作金庫商業銀行法人金融部
307230000NUL40000	合作金庫商業銀行埔里分行
307230000NUP70000	合作金庫商業銀行太原分行
307230000NUP40000	合作金庫商業銀行中權分行
307230000NUO20000	合作金庫商業銀行桃竹苗區區域中心
307230000NUN20000	合作金庫商業銀行北臺中分行
307230000NUN00000	合作金庫商業銀行溪湖分行
307230000NUM60000	合作金庫商業銀行西臺中分行
307230000NUM50000	合作金庫商業銀行彰儲分行
307230000NUW40000	合作金庫商業銀行鳳山分行
307230000NUM30000	合作金庫商業銀行北嘉義分行
307230000NULA0000	合作金庫商業銀行伸港分行
307230000NUL00000	合作金庫商業銀行南豐原分行
307230000NUM70000	合作金庫商業銀行虎尾分行
307230000NUK00000	合作金庫商業銀行臺中分行
307230000NUJ70000	合作金庫商業銀行北中和分行
307230000NUJ20000	合作金庫商業銀行立德分行
307230000NUJ10000	合作金庫商業銀行林園分行
307230000NUH70000	合作金庫商業銀行新生分行
307230000NUM90000	合作金庫商業銀行和美分行
307230000NUH60000	合作金庫商業銀行民生分行
307230000NUH40000	合作金庫商業銀行復興分行
307230000NUH20000	合作金庫商業銀行松興分行
307230000NUH10000	合作金庫商業銀行長安分行
307230000NUT60000	合作金庫商業銀行高雄分行
307230000NUG40000	合作金庫商業銀行建國分行
307230000NUG20000	合作金庫商業銀行東臺北分行
307230000NUF20000	合作金庫商業銀行中原分行
307230000NUC10000	合作金庫商業銀行臺大分行
307230000NUZZ0000	合作金庫商業銀行蘆洲分行
307230000NUZW0000	合作金庫商業銀行大社分行
307230000NUZN0000	合作金庫商業銀行新樹分行
307230000NUZM0000	合作金庫商業銀行下蚶辦事處
307230000NUZK0000	合作金庫商業銀行社皮分行
307230000NUZI0000	合作金庫商業銀行大華分行
307230000NUY00000	合作金庫商業銀行忠明南路分行
307230000NUXR0000	合作金庫商業銀行大直分行
307230000NUW80000	合作金庫商業銀行大發分行
307230000NUW60000	合作金庫商業銀行五甲分行
307230000NUK70000	合作金庫商業銀行頭份分行
307230000NUJ40000	合作金庫商業銀行集中作業中心
307230000NUG30000	合作金庫商業銀行城內分行
307230000NUF60000	合作金庫商業銀行新竹分行
307230000NUF40000	合作金庫商業銀行迴龍分行
307230000NUV20000	合作金庫商業銀行前鎮分行
307230000NUE80000	合作金庫商業銀行中壢分行
307230000NUE61000	合作金庫商業銀行林口分行
307230000NUE20000	合作金庫商業銀行二重分行
307230000NUWW0000	合作金庫商業銀行寶橋分行
307230000NUD70000	合作金庫商業銀行土城分行
307230000NUC60000	合作金庫商業銀行永和分行
307230000NUC20000	合作金庫商業銀行內湖分行
307230000NUB80000	合作金庫商業銀行石牌分行
307230000NUB00000	合作金庫商業銀行汐止分行
307230000NUA70000	合作金庫商業銀行大稻埕分行
307230000NUA60000	合作金庫商業銀行東門分行
307230000NU970000	合作金庫商業銀行財富管理部
307230000NU980000	合作金庫商業銀行保險代理部
307230000NU8A0000	合作金庫商業銀行員工訓練中心
307230000NU840000	合作金庫商業銀行董事會稽核部
307230000NU7A0000	合作金庫商業銀行國際金融業務分行
307230000NUX90000	合作金庫商業銀行礁溪分行
307230000NU1D0000	合作金庫商業銀行大坪林分行
307230000NUWZ0000	合作金庫商業銀行南汐止分行
307230000NUO50000	合作金庫商業銀行雲嘉南區區域中心
307230000NUL10000	合作金庫商業銀行大里分行
307230000NUD90000	合作金庫商業銀行埔墘分行
307230000NU5A0000	合作金庫商業銀行臺北分行
307230000NU520000	合作金庫商業銀行財務部
307230000N	合作金庫商業銀行
307230000NUWH0000	合作金庫商業銀行北士林分行
307230000NU1C0000	合作金庫商業銀行五股分行
307230000NU1B0000	合作金庫商業銀行南港分行
307230000NUN10000	合作金庫商業銀行烏日分行
307230000NUL70000	合作金庫商業銀行員林分行
307230000NUXB0000	合作金庫商業銀行壢新分行
307230000NUXJ0000	合作金庫商業銀行新竹科學園區分行
307230000NUC90000	合作金庫商業銀行板橋分行
307230000NUYA0000	合作金庫商業銀行南彰化分行
307230000NUXL0000	合作金庫商業銀行北花蓮分行
307230000NUXU0000	合作金庫商業銀行長庚分行
307230000NUY50000	合作金庫商業銀行東沙鹿分行
307230000NUYC0000	合作金庫商業銀行雲林分行
307230000NUYM0000	合作金庫商業銀行七賢分行
307230000NUZH0000	合作金庫商業銀行仁美分行
307230000NU4A0000	合作金庫商業銀行資訊部
307230000NU670000	合作金庫商業銀行董事會秘書部
307230000NUA90000	合作金庫商業銀行松山分行
307230000NU710000	合作金庫商業銀行調查研究部
307230000NUB20000	合作金庫商業銀行忠孝分行
307230000NUG80000	合作金庫商業銀行仁愛分行
307230000NUL30000	合作金庫商業銀行南投分行
307230000NU770000	合作金庫商業銀行資安部
307230000NUD20000	合作金庫商業銀行南勢角分行
307230000NU360000	合作金庫商業銀行休士頓分行
307230000NU350000	合作金庫商業銀行金邊堆谷支行
307230000NU340000	合作金庫商業銀行永珍分行
307230000NU330000	合作金庫商業銀行金邊永盛支行
307230000NU300000	合作金庫商業銀行金邊市中心支行
307230000NU280000	合作金庫商業銀行長沙分行
307230000NU270000	合作金庫商業銀行金邊暹粒支行
307230000NU260000	合作金庫商業銀行紐約分行
307230000NU250000	合作金庫商業銀行仰光代表人辦事處
307230000NUZU0000	合作金庫商業銀行八德分行
307230000NU230000	合作金庫商業銀行金邊菩森芷支行
307230000NU210000	合作金庫商業銀行天津分行
307230000NU1A0000	合作金庫商業銀行信託部
307230000NU180000	合作金庫商業銀行雪梨分行
307230000NU170000	合作金庫商業銀行蘇州分行
307230000NU160000	合作金庫商業銀行臺灣聯合銀行
307230000NU150000	合作金庫商業銀行北京代表人辦事處
307230000NUJ00000	合作金庫商業銀行南桃園分行
307230000NU140000	合作金庫商業銀行香港分行
307230000NUJ60000	合作金庫商業銀行蘆竹分行
307230000NU120000	合作金庫商業銀行洛杉磯分行
307230000NUYQ0000	合作金庫商業銀行九如分行
307230000NUYK0000	合作金庫商業銀行開元分行
307230000NUY30000	合作金庫商業銀行豐中分行
307230000NUXH0000	合作金庫商業銀行東竹北分行
307230000NUXF0000	合作金庫商業銀行楊梅分行
307230000NUX70000	合作金庫商業銀行五股工業區分行
307230000NUO60000	合作金庫商業銀行北市二區區域中心
307230000NUN80000	合作金庫商業銀行潭子分行
307230000NUK90000	合作金庫商業銀行沙鹿分行
307230000NUK30000	合作金庫商業銀行西屯分行
307230000NUK10000	合作金庫商業銀行中興分行
307230000NUJ90000	合作金庫商業銀行丹鳳分行
307230000NUC80000	合作金庫商業銀行新莊分行
307230000NUJ80000	合作金庫商業銀行新湖分行
307230000NUG90000	合作金庫商業銀行玉成分行
307230000NUG00000	合作金庫商業銀行光復分行
307230000NUF80000	合作金庫商業銀行北新竹分行
307230000NUH00000	合作金庫商業銀行古亭分行
307230000NUF10000	合作金庫商業銀行龍潭分行
307230000NUE00000	合作金庫商業銀行三峽分行
307230000NUDA0000	合作金庫商業銀行樹林分行
307230000NUD80000	合作金庫商業銀行雙和分行
307230000NUWP0000	合作金庫商業銀行南門分行
307230000NUD10000	合作金庫商業銀行東三重分行
307230000NUD00000	合作金庫商業銀行中和分行
307230000NUC70000	合作金庫商業銀行三重分行
307230000NUC50000	合作金庫商業銀行新店分行
307230000NUK50000	合作金庫商業銀行南臺中分行
307230000NUC00000	合作金庫商業銀行復旦分行
307230000NUA40000	合作金庫商業銀行景美分行
307230000NUO70000	合作金庫商業銀行中區區域中心
307230000NUA00000	合作金庫商業銀行館前分行
307230000NU830000	合作金庫商業銀行法律事務部
307230000NU530000	合作金庫商業銀行債權管理部
307230000NU410000	合作金庫商業銀行授信管理部
307230000NU3A0000	合作金庫商業銀行個人金融部
307230000NUYV0000	合作金庫商業銀行仁德分行
307230000NUR20000	合作金庫商業銀行朝馬分行
307230000NUN30000	合作金庫商業銀行旗山分行
307230000NUA50000	合作金庫商業銀行南京東路分行
307230000NUH30000	合作金庫商業銀行民族分行
307230000NUYY0000	合作金庫商業銀行鳳松分行
307230000NU2D0000	合作金庫商業銀行風險管理部
307230000NUN90000	合作金庫商業銀行客戶服務中心
307230000NUO00000	合作金庫商業銀行北市一區區域中心
307230000NUE70000	合作金庫商業銀行桃園分行
307230000NUYP0000	合作金庫商業銀行十全分行
307230000NU380000	合作金庫商業銀行青埔分行
307230000NUX20000	合作金庫商業銀行澎湖分行
307230000NUX30000	合作金庫商業銀行屏南分行
307230000NUF70000	合作金庫商業銀行竹東分行
307230000NUD50000	合作金庫商業銀行東新莊分行
307230000NU130000	合作金庫商業銀行馬尼拉分行
307230000NU240000	合作金庫商業銀行福州分行
307230000NU190000	合作金庫商業銀行金邊分行
307230000NUU30000	合作金庫商業銀行大竹分行
307230000NU550000	合作金庫商業銀行業務發展部
307230000NUG60000	合作金庫商業銀行信義分行
307230000NU760000	合作金庫商業銀行法令遵循部
307230000NU9A0000	合作金庫商業銀行職工福利社
307230000NUF30000	合作金庫商業銀行慈文分行
307230000NUZ80000	合作金庫商業銀行枋寮分行
307230000NU400000	合作金庫商業銀行東京分行
310900100Q	東海大學
310900100QU320000	東海大學軍訓室
310900200Q	輔仁大學學校財團法人輔仁大學
310900200QU180000	輔仁大學學校財團法人
310900200QU320000	輔仁大學學校財團法人輔仁大學軍訓室
310900300QU320000	東吳大學軍訓室
310900300Q	東吳大學
310900400Q	中原大學
310900400QU900000	中原大學校長遴選委員會
310900400QU320000	中原大學軍訓室
310900500Q	淡江大學學校財團法人淡江大學
310900600QU320000	中國文化大學軍訓室
310900600Q	中國文化大學
310900700QU320000	逢甲大學軍訓室
310900700Q	逢甲大學
310900800Q	靜宜大學
310900900Q	長庚大學
310900900QU320000	長庚大學軍訓室
310901000Q	元智大學
310901000QU320000	元智大學軍訓室
310901100QU320000	中華大學學校財團法人中華大學軍訓室
310901100Q	中華大學學校財團法人中華大學
310901200Q	大葉大學
310901200QU320000	大葉大學軍訓室
310901300QU320000	華梵學校財團法人華梵大學軍訓室
310901300Q	華梵學校財團法人華梵大學
310901400Q	義守大學
310901400QU320000	義守大學軍訓室
310901400QU400000	義守大學校長遴選委員會
310901500QU320000	世新大學軍訓室
310901500Q	世新大學
310901600QU320000	銘傳大學軍訓室
310901600Q	銘傳大學
310901700QU310000	實踐大學高雄校區
310901700QU320000	實踐大學軍訓室
310901700Q	實踐大學
310901800Q	朝陽科技大學
310901800QU080000	朝陽科技大學監察人提名委員會
310901800QU040000	中華民國斐陶斐榮譽學會朝陽科技大學分會
310901800QU050000	朝陽科技大學校長遴選委員會
310901800QU320000	朝陽科技大學軍訓室
310901900QU010000	南臺學校財團法人
310901900QU500000	大學校院招收大陸地區學生聯合招生委員會
310901900Q	南臺學校財團法人南臺科技大學
310901900QU060000	中華服務管理學會
310901900QU800000	南臺學校財團法人臺台科技大學附設進修學院
310901900QU700000	國軍退除役官兵就讀大學校院甄試招生委員會
310902000Q	高雄醫學大學
310902100Q	南華大學
310902100QU320000	南華大學軍訓室
310902100QU420000	教育部生命教育中心
310902100QU110000	南華大學校長遴選委員會
310902200QU320000	真理大學軍訓室
310902200Q	真理大學
310902300Q	大同大學
310902300QU320000	大同大學軍訓室
310902400Q	臺北醫學大學
310902400QU320000	臺北醫學大學軍訓室
310902400T	臺北醫學大學測試機關
310902500Q	中山醫學大學
310902500QU320000	中山醫學大學軍訓室
310902600QU680000	北區技專校院聯合招收五年制專科各年級轉學生委員會
310902600QU550000	北二區大專校院學生事務工作協調聯絡中心
310902600QU320000	龍華科技大學軍訓室
310902600Q	龍華科技大學
310902600QU100000	財團法人龍華科技大學
310902900QU320000	慈濟學校財團法人慈濟大學軍訓室
310902900QU220000	慈濟學校財團法人
310902900Q	慈濟學校財團法人慈濟大學
310903000QU320000	輔英科技大學軍訓室
310903000Q	輔英科技大學
310903100Q	樹德科技大學
310903100QU250000	樹德科技大學應用社會學院
310903100QU210000	樹德科技大學設計學院
310903100QU240000	樹德科技大學通識教育學院
310903100QU230000	樹德科技大學資訊學院
310903100QU100000	財團法人樹德科技大學
310903100QU220000	樹德科技大學管理學院
310903200QU800000	明新學校財團法人明新科技大學附設進修學院
310903200QU030000	明新學校財團法人明新科技大學校長遴選委員會
310903200QU050000	明新學校財團法人
310903200QU820000	明新學校財團法人明新科技大學附設專科進修學校
310903200Q	明新學校財團法人明新科技大學
310903200QU320000	明新學校財團法人明新科技大學軍訓室
310903300Q	長榮大學
310903400QU320000	弘光科技大學軍訓室
310903400Q	弘光科技大學
310903500Q	中國醫藥大學
310903500QU320000	中國醫藥大學軍訓室
310903600QU800000	正修學校財團法人正修科技大學附設進修學院
310903600QU820000	正修學校財團法人正修科技大學附設專科進修學校
310903600QU320000	正修學校財團法人正修科技大學軍訓室
310903600Q	正修學校財團法人正修科技大學
310903900Q	台鋼學校財團法人台鋼科技大學
310904000Q	聖約翰科技大學
310904000QU320000	聖約翰科技大學軍訓室
310904100QU320000	中國科技大學軍訓室
310904100QU820000	中國科技大學附設專科進修學校
310904100Q	中國科技大學
310904100QU810000	財團法人中國科技大學
310904100QU800000	中國科技大學附設進修學院
310904200QU320000	大仁科技大學軍訓室
310904200Q	大仁科技大學
310904200QU800000	大仁科技大學附設進修學院
310904200QU860000	大仁科技大學校長遴選委員會
310904200QU820000	大仁科技大學附設專科進修學校
310904200QU850000	財團法人大仁科技大學
310904300Q	嶺東科技大學
310904300QU920000	臺中市南湖社區大學
310904300QU940000	嶺東科技大學校長遴選委員會
310904300QU320000	嶺東科技大學軍訓室
310904300QU800000	嶺東科技大學附設進修學院
310904300QU820000	嶺東科技大學附設專科進修學校
310904400Q	亞洲大學
310904400QU800000	亞洲大學校長遴選委員會
310904400QU320000	亞洲大學軍訓室
310904500Q	開南大學
310904500QU320000	開南大學軍訓室
310904600QU100000	光宇學校財團法人
310904600QU800000	光宇學校財團法人元培醫事科技大學附設進修學院
310904600Q	光宇學校財團法人元培醫事科技大學
310904600QU320000	光宇學校財團法人元培醫事科技大學軍訓室
310904600QU820000	光宇學校財團法人元培醫事科技大學附設專科進修學校
310904700QU010000	佛光大學校長遴選委員會
310904700Q	佛光大學
310904700QU320000	佛光大學軍訓室
310904800QU320000	中信金學校財團法人中信科技大學軍訓室
310904800QU800000	中信金學校財團法人中信科技大學附設進修學院
310904800Q	中信金學校財團法人中信科技大學
310904800QU820000	中信金學校財團法人中信科技大學附設專科進修學校
310905302P	中國醫藥大學附設醫院
310906900QU800000	嘉藥學校財團法人嘉南藥理大學附設進修學院
310906900Q	嘉藥學校財團法人嘉南藥理大學
310906900QU110000	嘉藥學校財團法人
310906900QU320000	嘉藥學校財團法人嘉南藥理大學軍訓室
310907400QU800000	崑山科技大學附設進修學院
310907400QU320000	崑山科技大學軍訓室
310907400QU820000	崑山科技大學附設專科進修學校
310907400Q	崑山科技大學
310907800Q	玄奘大學
310907800QU320000	玄奘大學軍訓室
310909100QU320000	大漢學校財團法人大漢技術學院軍訓室
310909100Q	大漢學校財團法人大漢技術學院
310909200QU320000	萬能學校財團法人萬能科技大學軍訓室
310909200QU810000	萬能學校財團法人
310909200Q	萬能學校財團法人萬能科技大學
310909200QU800000	萬能學校財團法人萬能科技大學附設進修學院
310909200QU820000	萬能學校財團法人萬能科技大學附設專科進修學校
310909400QU330000	健行學校財團法人健行科技大學人事室
310909400QU880000	健行學校財團法人
310909400QU320000	健行學校財團法人健行科技大學軍訓室
310909400Q	健行學校財團法人健行科技大學
310909400QU820000	健行學校財團法人健行科技大學附設專科進修學校
310909400QU800000	健行學校財團法人健行科技大學附設進修學院
310909700QU820000	建國科技大學附設專科進修學校
310909700QU800000	建國科技大學附設進修學院
310909700QU320000	建國科技大學軍訓室
310909700Q	建國科技大學
310931600RU320000	城市學校財團法人臺北城市科技大學軍訓室
310931600R	城市學校財團法人臺北城市科技大學
310931600RU820000	城市學校財團法人臺北城市科技大學附設專科進修學校
310931600RU570000	城市學校財團法人臺北城市科技大學校長遴選委員會
310931600RU800000	城市學校財團法人臺北城市科技大學附設進修學院
310941800RU020000	仁德醫護管理專科學校校長室
310941800RU320000	仁德醫護管理專科學校軍訓室
310941800RU550000	苗栗縣通霄非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理)
310941800RU560000	臺中市神圳非營利幼兒園(委託財團法人仁德醫護管理專科學校設立之仁德醫護管理專科學校辦理)
310941800RU010000	財團法人仁德醫護管理專科學校
310941800R	仁德醫護管理專科學校
310941900RU320000	馬偕學校財團法人馬偕醫護管理專科學校軍訓室
310941900R	馬偕學校財團法人馬偕醫護管理專科學校
310942000RU320000	慈惠醫護管理專科學校軍訓室
310942000R	慈惠醫護管理專科學校
310942300RU030000	新北市政府委託耕莘健康管理專科學校辦理新店安康公共托育中心(托嬰中心)
310942300RU040000	新北市政府委託耕莘健康管理專科學校辦理新店北新公共托育中心(托嬰中心)
310942300RU020000	耕莘健康管理專科學校附設新北市私立實驗幼兒園
310942300RU010000	耕莘健康管理專科學校宜蘭分部
310942300RU320000	耕莘健康管理專科學校軍訓室
310942300R	耕莘健康管理專科學校
310942400RU820000	樹人醫護管理專科學校附設專科進修學校
310942400RU320000	樹人醫護管理專科學校軍訓室
310942400R	樹人醫護管理專科學校
310942600R	育英醫護管理專科學校
310942600RU320000	育英醫護管理專科學校軍訓室
310942600RU110000	育英醫護管理專科學校董事會
310942700RU320000	敏惠醫護管理專科學校軍訓室
310942700R	敏惠醫護管理專科學校
310942900R	聖母醫護管理專科學校
310942900RU320000	聖母醫護管理專科學校軍訓室
310943000R	崇仁醫護管理專科學校
310943000RU320000	崇仁醫護管理專科學校軍訓室
310943100R	新生學校財團法人新生醫護管理專科學校
310943100RU010000	新生學校財團法人
310992000QU320000	中臺科技大學軍訓室
310992000Q	中臺科技大學
310992000QU800000	中臺科技大學附設進修學院
310992300Q	宏國學校財團法人宏國德霖科技大學
310992700Q	亞東學校財團法人亞東科技大學
310992800Q	南亞科技學校財團法人南亞技術學院
310992800QU320000	南亞科技學校財團法人南亞技術學院軍訓室
310993300QU820000	新北市教育會
310993300QU320000	致理學校財團法人致理科技大學軍訓室
310993300QU840000	致理學校財團法人致理科技大學校長遴選委員會
310993300QU830000	致理學校財團法人
310993300Q	致理學校財團法人致理科技大學
310993300QU800000	致理學校財團法人致理科技大學附設進修學院
310993300QU810000	新北市板橋區教育會
310994000QU320000	台灣首府學校財團法人台灣首府大學軍訓室
310994000Q	台灣首府學校財團法人台灣首府大學
310994300QU320000	中信學校財團法人中信金融管理學院軍訓室
310994300Q	中信學校財團法人中信金融管理學院
310995000Q	黎明技術學院
310995200QU850000	德育學校財團法人德育護理健康學院校長遴選委員會
